name,diretta_name,diretta_id,elo,id
Trentino,trentino,CffxNRaH,475,ita_m_1
Lube Civitanova,lube-civitanova,hxtqRVVu,500,ita_m_2
Perugia,safety-perugia,EJS1lfOD,500,ita_m_3
Verona,verona,OdjU5n0U,450,ita_m_4
Milano,milano,2qsyTQW9,400,ita_m_5
Padova,padova,Kfbd7lGB,300,ita_m_6
Cuneo Volley,cuneo-volley,KCDVlA71,350,ita_m_7
Modena,modena,6upmQkon,400,ita_m_8
Piacenza,piacenza,IXfYN7pB,450,ita_m_9
Monza,monza,vgreOTFb,350,ita_m_10
Grottazzolina,grottazzolina,nNpxlbKs,300,ita_m_11
Cisterna,cisterna,A7seqaBP,300,ita_m_12

Jastrzebski,jastrzebski,lWD9RIPD,500,pol_m_1
Projekt Warszawa,projekt-warszawa,zav73FX6,500,pol_m_2
Zawiercie,zawiercie,WhuLLKZT,500,pol_m_3
Lublin,lublin,Kv7iGxys,475,pol_m_4
Kedzierzyn-Kozle,kedzierzyn-kozle,n7gpLG2s,450,pol_m_5
Rzeszow,rzeszow,21Os7cYs,450,pol_m_6
Belchatow,belchatow,SMCDQxuK,400,pol_m_7
Norwid Czestochowa,norwid-czestochowa,EuwcJPKB,400,pol_m_8
Olsztyn,olsztyn,pAof6Hml,350,pol_m_9
Slepsk Suwalki,slepsk-suwalki,2kggPBWE,350,pol_m_10
Gdansk,trefl-gdansk,Ao2IPdfQ,300,pol_m_11
Cuprum Gorzow,cuprum-gorzow,K4CJzoda,300,pol_m_12
Barkom,barkom,jm1YCctT,300,pol_m_13
CHKS Chelm,chks-chelm,Um4hyFKf,300,

Zenit Kazan,zenit-kazan,j7MxHCWI,500,rus_m_1
Belgorod,belgorod,f3mgP9Ou,450,rus_m_2
Dinamo Moscow,din-moscow,ba4VIY16,425,rus_m_3
Novosibirsk,novosibirsk,tOoNOmgh,450,rus_m_4
Zenit St. Petersburg,zenit-st-petersburg,S0nUsKBh,450,rus_m_5
Dinamo LO,dinamo-lo,MB7pnxoH,375,rus_m_6
Ufa,ufa,YgncOTwn,350,rus_m_7
Krasnoyarsk,enisey-krasnoyarsk,nibTuLpg,350,rus_m_8
Kemerovo,kemerovo,hbFonVBi,325,rus_m_9
Novyi Urengoy,novyi-urengoy,K85RJEn0,300,rus_m_10
Surgut region,surgut-region,KEpRN78b,250,rus_m_11
Gorky N. Novgorod,gorky-n-novgorod,bw6M1XcM,250,rus_m_12
Orenburg,neftjanik-orenburg,80aPt1Vn,250,rus_m_13
Novokuybyshevsk,nova-novokuybyshevsk,hC0jKP7N,225,rus_m_14
MGTU Moscow,mgtu-moscow,OSDwWRtI,200,rus_m_15
